token replacement
._|_ cls_false
.(+) cls_add
.(x) cls_mul
./\ cls_and
.\/ cls_or
.<_ cls_subset
.X. cls_cartesian
.0. cls_zero
.1. cls_one
.|| cls_true
.+^ cls_sum_power
.+b cls_add_binary
.x. cls_variable
.xb cls_variable_binary
.o. cls_compose
.0b cls_zero_binary
.< cls_less
.+ cls_addition
.- cls_subtract
./ cls_divide
.^ cls_power
.~ cls_not
.* cls_multiply
., cls_comma
